cohort_gr8,income_measure_key,income_measure_label,income_measure_order,outcome,outcome_key,outcome_label,plot_order,target_percentile,target_percentile_label,window_lower_percentile,window_upper_percentile,n_students_total,n_students,income_4to_cutpoint,log_income_4to_cutpoint,mean_income_4to,mean_log_income_4to,mean_attended_va_eb,sd_attended_va_eb,se_attended_va_eb
2014,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,201268,10063,450000,13.0170028617465,464523.501937792,13.0462336652315,-0.0162980105873246,0.117269963509727,0.00116902299428281
2015,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,197533,9877,450000,13.0170028617465,479963.551685735,13.0772097893813,-0.0145455742822746,0.116654119930769,0.00117378229569101
2016,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,198196,9909,450000,13.0170028617465,485750.32798466,13.088825956009,-0.010996124275167,0.11662844578603,0.00117162754650392
2017,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,184854,9242,550000,13.2176735572087,511463.968837914,13.1404186141718,-0.00158415234886692,0.11896057098744,0.0012374283394297
2018,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,199333,9967,550000,13.2176735572087,503541.687568978,13.1245335701564,-0.00601791133517805,0.117292769916122,0.00117486783301882
2019,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,200814,10040,550000,13.2176735572087,503605.577689243,13.1246486245121,-0.00631096724818107,0.119082616463872,0.00118845163353297
2020,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,75,p75,72.5,77.5,204557,10228,550000,13.2176735572087,506247.55572937,13.1299646423054,-0.00508422125844915,0.118298822467473,0.00116972847467156
2013,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,193933,9697,1100000,13.9108207377686,1113199.95875013,13.9010808250686,0.0877500326904909,0.130628683954134,0.00132653848377329
2014,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,201268,10063,1100000,13.9108207377686,1109082.77849548,13.8992023815169,0.0848788227778206,0.129324960871618,0.00128919502035239
2015,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,197533,9877,1100000,13.9108207377686,1163187.20259188,13.9431243295104,0.0919405305426288,0.128882839651673,0.00129682856886065
2016,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,198196,9910,1100000,13.9108207377686,1180131.18062563,13.9589039695451,0.0920664917383537,0.128231201141001,0.00128812166013469
2017,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,184854,9242,1200000,13.9978321147582,1266468.29690543,14.0265928890195,0.0991553960417798,0.12829711990294,0.00133454715892268
2018,school_median_for_everyone,School median for everyone,2,z_year_leng_max,language,Language,2,90,p90,87.5,92.5,199333,9967,1100000,13.9108207377686,1177626.16634895,13.9589196361688,0.091448398284347,0.126453699029981,0.00126662865462901
