school_rbd,area_income_va,program_income_full_va,institution_income_va,math_va,area_income_n,program_income_full_n,institution_income_n,math_n,complete_decomposition_input,program_income_full_component_math_va,program_income_full_component_institution_income_va,program_income_full_component_area_income_va,program_income_full_component_residual_va,program_income_full_component_sum_va,reconstruction_error
109,-0.0193018097415802,-0.0302160638079779,-0.0408633667105922,-0.249695576848696,105,105,105,101,TRUE,-0.0300876116327963,-0.0205938258409604,0.0111603983197357,0.00930488870337015,-0.0302161504506509,0
110,-0.0103352066693317,-0.0267193389250699,-0.04269053454679,-0.0421751193944949,115,115,115,113,TRUE,-0.00493196444177446,-0.0362586171619343,0.0142774732162674,0.000193682819698483,-0.0267194255677429,0
124,0.0732032673952268,0.0657482863932607,-0.0220962810427643,-0.225759169336809,359,359,359,342,TRUE,-0.0271860383143082,-0.00506234751860076,0.0774774281062625,0.0205191574772342,0.0657481997505878,0
125,0.0968754468935558,0.108755730423961,0.0595874568548621,-0.0342857122409779,101,101,101,100,TRUE,-0.00397560984746176,0.0566514318627414,0.0505173797707551,0.00556244199525328,0.108755643781288,0
127,0.0378695984421189,0.0315026296789669,-0.009113916759239,-0.124504145788864,258,258,258,254,TRUE,-0.0149118958999255,-3.03213939200773e-05,0.0390739482070265,0.00737081212311306,0.031502543036294,0
129,0.0152225959588095,0.0167409396634222,-0.0008318350144108,-0.0480680619286286,15,15,15,15,TRUE,-0.00564630742812003,0.0023813074727767,0.0141883930333832,0.00581745994270942,0.0167408530207492,0
130,0.0380161266758887,0.0362398845151372,-0.0131356254631328,-0.0380287331321354,88,88,88,88,TRUE,-0.00442933915261888,-0.0095366161953383,0.0390687422417411,0.0111370109786803,0.0362397978724642,0
131,-0.0123700695704489,-0.024902385446387,-0.0050008920707979,-0.187211147082113,51,51,51,50,TRUE,-0.0225132438358901,0.00795642518141406,-0.00299470008910473,-0.00735095334547919,-0.02490247208906,0
132,0.0267922269405414,0.0270060629712557,0.0095515161285633,0.11425113253045,653,653,653,647,TRUE,0.0140300388860481,0.000920596828363798,0.0143626278993835,-0.00230728728521263,0.0270059763285827,0
133,0.0006849817296156,-0.0105781378617714,-0.0257346737059186,-0.0283491522169192,145,145,145,142,TRUE,-0.00325597954534322,-0.0217000282162638,0.014384613058452,-6.82980128930387e-06,-0.0105782245044444,0
134,0.0183430017457352,0.01692488220677,-0.0210928579813344,-0.102486580418265,42,42,42,41,TRUE,-0.0122429247861244,-0.0124592890498599,0.028486855922218,0.0131401534778633,0.016924795564097,0
144,-0.0359490449683249,-0.0462674534565495,-0.0501600111988769,-0.200384532513553,54,54,54,51,TRUE,-0.0241101227185313,-0.0324129332288639,0.000896868648360006,0.00935864719981278,-0.0462675400992225,0
161,0.0031063248291799,0.0049816579199318,1.85319977625e-05,-0.0808550583024746,48,48,48,47,TRUE,-0.00962074986792531,0.00536941217907363,0.00456031295659888,0.00467259600951164,0.00498157127725884,0
178,0.0200300066264719,0.021257567428804,0.0208692121859053,-0.0600098431502165,18,18,18,18,TRUE,-0.00709389114554188,0.0230129561805591,0.00738398307233495,-0.00204556732122113,0.021257480786131,-3.46944695195361e-18
191,-0.0177364739425457,-0.0282345240633728,-0.0416705933069087,-0.0895053522934676,344,344,344,337,TRUE,-0.0106693392282493,-0.0321347713800528,0.00882883445905501,0.00574066544320132,-0.0282346107060458,0
199,0.0351510289395977,0.0638662284260017,0.0727122315356161,-0.179184799478814,264,264,264,254,TRUE,-0.0215402893088134,0.0784145476300699,-0.00357906312089723,0.0105709465829695,0.0638661417833288,0
200,0.036351534769883,0.0527429828176188,0.0214799368760613,-0.238123785673963,198,198,198,192,TRUE,-0.028684878139767,0.0355831767038224,0.0250605326539905,0.0207840649569,0.0527428961749459,0
208,0.0442306236417081,0.0647586436259714,0.0967578905544064,-0.184834217923682,364,364,364,360,TRUE,-0.0222251122847116,0.100763889581521,-0.0082061560644798,-0.00557406424903094,0.0647585569832985,0
211,-0.0008720067439602,0.0093606886366731,0.0322141703648459,-0.0213868459829014,145,145,145,144,TRUE,-0.0024120082019519,0.0307730255441293,-0.016669187149262,-0.00233122819891526,0.00936060199400014,1.73472347597681e-18
217,-0.0262986844592066,-0.0122642781036006,0.0231652301733491,0.0035306234103685,814,814,814,798,TRUE,0.000608489519765582,0.0208253603745602,-0.033705027169312,6.81252871262764e-06,-0.0122643647462736,0
218,-0.0126913322554805,-0.0084052741316157,0.0161150879233653,-0.146912354914417,71,71,71,71,TRUE,-0.0176282208823406,0.0245303727354407,-0.0150588329777075,-0.000248679649681366,-0.00840536077428866,0
219,0.0196485870523477,0.0482653324754306,0.0421418289313717,-0.173629870595053,193,193,193,184,TRUE,-0.0208669203654072,0.0501105119156783,-0.000929659092967052,0.0199513133754536,0.0482652458327577,0
220,0.0818432230462827,0.106381924218134,0.0574016471998255,-0.232279519031236,400,400,400,386,TRUE,-0.0279764356490447,0.0680074388915042,0.0441929126915029,0.0221579216414986,0.106381837575461,0
222,-0.0042470791927731,-0.0051045616884551,0.0181864525805907,-0.0358176690680661,6,6,6,6,TRUE,-0.00416131378203704,0.01893040760065,-0.0119336222128865,-0.00794011993685445,-0.00510464833112806,0
253,0.0132353312247856,0.0239441333987202,0.0350150425653631,-0.173462745555533,189,189,189,186,TRUE,-0.0208466614541532,0.043588142623445,-0.0025985877222001,0.00380115330895554,0.0239440467560472,0
254,0.0096880110611191,0.0301019917490609,0.0603991665954938,-0.138206744094613,133,133,133,132,TRUE,-0.0165729260114064,0.0644015991203681,-0.0193830659470435,0.00165629794446977,0.0301019051063879,0
255,-0.0944923103156599,-0.101777202087709,-0.051281024020328,-0.215764995014598,143,143,143,137,TRUE,-0.0259745436679522,-0.0323998207481171,-0.0465594278021738,0.00315650348786113,-0.101777288730382,0
256,0.0108666093036168,0.0254176342989129,0.0419590850309322,-0.0151765172564259,412,412,412,408,TRUE,-0.0016591916348529,0.0392572366182268,-0.0120937554081405,-8.67419189934174e-05,0.0254175476562399,3.46944695195361e-18
257,0.0399656474140787,0.0602260853902012,0.0465756082591271,0.234923781003573,199,199,199,197,TRUE,0.0286579874162118,0.0266078164092825,0.00330946442731092,0.00165073049472299,0.0602259987475283,0
