school_rbd,highinst_va,highpay_va,income_va,math_va,highinst_n,highpay_n,income_n,math_n,math_highinst_highpay_math_orth_va,math_highinst_highpay_highinst_orth_va,math_highinst_highpay_highpay_orth_va
433,0.180047791623613,-0.0064230949103495,0.103628491331795,-0.150621386089687,297,287,297,253,-0.123912160581756,0.216578789735155,-0.00713053812973262
437,0.363899403105993,0.088341174402325,0.168258395874578,-0.0235480324164178,1047,1025,1047,884,0.0031611930915137,0.362952489522901,0.0758808329324648
438,0.158413966918211,-0.0213398728548207,-0.0216483355569386,-0.103993507160977,310,297,310,171,-0.0772842816530455,0.181192943236958,-0.0232245897209169
440,0.205956224373504,0.0222331013431153,0.0373121482299495,-0.13086820952892,335,325,335,259,-0.104158984020989,0.236661392085256,0.0197926893133807
441,0.021122929953565,0.0455203860024105,-0.0319821111637621,-0.274361197576676,36,33,36,7,-0.247651972068745,0.0941486737687886,0.055550070514101
448,0.118200069556415,0.0130509444583716,0.0081203967807494,-0.115699010383534,666,623,666,503,-0.0889897848756025,0.144431365369651,0.0130680233598085
449,0.249163076276528,0.120170220709274,0.0154423109020234,-0.13347425919662,502,488,502,261,-0.106765033688689,0.280636849651817,0.116317698625124
478,0.141383426577112,-0.0026617402469182,0.0169681903811255,-0.0363539269671,328,308,328,314,-0.0096447014591685,0.144213372353341,-0.0067592908786755
479,0.050958815854233,0.0042764925373277,0.0289840681472455,-0.0755643559853091,486,456,486,451,-0.0488551304773776,0.0653531451441892,0.00499119048332024
486,0.144009848063956,0.0833019880906113,0.0172069103532365,-0.22596487340535,324,297,324,197,-0.199255647897418,0.202762000199987,0.0869951619105716
487,0.0199987865290242,-0.0089801791764186,-0.0421215891243347,,6,6,6,,,,
516,-0.0219288749679284,-0.0043693680702231,-0.0228682314476965,-0.173757468365202,293,279,293,197,-0.147048242857271,0.0214256783848717,0.00299267877537303
517,0.0218261100539765,0.0405657847787539,0.0566117815881324,-0.147970490765171,608,558,608,517,-0.12126126525724,0.0575752761133053,0.0453159815223252
518,0.0141287318929996,-0.0348161202506132,-0.0625049089272718,-0.0460727739883259,294,274,294,130,-0.0193635484803944,0.0198250700316411,-0.034031488411359
521,0.0697632445998901,0.0402976497094241,0.0711840781239235,-0.0571429967345577,67,62,67,48,-0.0304337712266262,0.0787245381247722,0.0395847409593568
526,-0.0153211341308782,-0.0134025049762162,0.0135102839012344,0.197198311202666,131,128,131,114,0.223907536710598,-0.0813730578039781,-0.0216956164303536
530,-0.0077420939259017,-0.0245965984056359,-0.0480584796114251,-0.197579005919986,215,191,215,137,-0.170869780412055,0.0426381768971724,-0.0167433974881752
531,0.0207785738721031,0.0575798661494056,0.0885885480999135,-0.0779447452528653,83,77,83,60,-0.0512355197449338,0.0358749545063381,0.0594555783304915
532,0.0147889887637471,-0.0523074749550465,-0.122441333689494,0.180168424126271,87,85,87,9,0.206877649634203,-0.0462402878667654,-0.0609521433623919
535,0.0449476549694965,0.0197180850736065,0.035949014010942,-0.0694685636896298,108,98,108,78,-0.0427593381816983,0.0575441442028056,0.0203908820164053
565,0.0447231435422282,0.0255936282893075,0.0719233892016566,-0.150073321186952,251,238,251,222,-0.123364095679021,0.0810925001496001,0.0296254999310143
566,0.0167944037481834,0.0021589314225995,0.0020003526894027,,1,1,1,,,,
567,0.025578079315691,0.0556305417667993,0.171922569400893,0.0513655484855789,293,270,293,268,0.0780747739935104,0.00253680457335256,0.0519612327282033
568,0.0061926846314265,0.0005170621897746,0.0331850611334853,-0.0460653240046939,167,159,167,156,-0.0193560984967624,0.0118868255365755,0.00158065535064908
570,0.0119165647732026,0.0970459386492364,0.148863661503261,0.0305806812617031,168,157,168,159,0.0572899067696346,-0.00499460168220103,0.094721519910448
573,0.0223221946510905,0.0082492013378596,0.0560316046278467,-0.033910749677939,282,270,282,258,-0.00720152417000751,0.0244315709290681,0.00823986273365974
574,-0.0204233435154344,0.169660721875747,0.0019814787652686,-0.275473772841402,641,624,641,359,-0.248764547333471,0.0529305335891037,0.181198683637285
575,-0.0458689433122406,-0.0859937519009804,-0.039607411075905,-0.108320654423571,600,559,600,364,-0.0816114289156395,-0.0218137557477105,-0.0805098103147942
578,-0.0122808071568333,-0.0211975546928633,-0.0927985737556782,-0.138290772218091,154,148,154,67,-0.11158154671016,0.0206135067525386,-0.0156495669100115
579,0.0257937188856759,0.0151101713717579,0.121418094582789,-0.0796255474375528,455,429,455,419,-0.0529163219296213,0.0413858207237113,0.0168792796211
580,0.126659946359908,0.0527618714736993,0.14825588928373,0.414357986506404,424,410,424,411,0.441067212014335,-0.00343916658935622,0.0304439201468952
581,0.0208510540776995,-0.0290977119954857,0.0129222431089561,-0.0010304209013325,162,156,162,149,0.025678804606599,0.0132629916499305,-0.0304222933135311
582,0.0170868104418681,0.0181207004387646,0.0915488140519216,0.171208905319836,213,207,213,197,0.197918130827768,-0.0413000234974933,0.0097676667105163
583,0.0198457631676523,0.0126515214799358,0.0313854089483335,0.128611306436249,259,252,259,251,0.155320531944181,-0.0259777047849473,0.00597241138228458
585,0.385697247827842,-0.0082340361406686,0.151927008780886,0.582589996094901,182,177,182,178,0.609299221602833,0.205981246543515,-0.0466618719799629
587,0.262677791048831,0.0966728950245518,0.132344206291208,0.626876674487638,77,77,77,74,0.653585899995569,0.0699002613317282,0.0607329021113544
