outcome,psu_score_bin,students,benefit_assignments,share,sample,se,lower,upper
Beca Nuevo Milenio,885,1435,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,890,1908,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,895,1231,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,900,2053,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,905,825,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,910,1996,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,915,714,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,920,1637,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,925,755,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,930,1091,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,935,615,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,940,964,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,945,530,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,950,387,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,955,571,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,960,324,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,965,166,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,970,270,0,0,Whole grade-8 universe,0,0,0
Beca Nuevo Milenio,980,137,0,0,Whole grade-8 universe,0,0,0
Beca Bicentenario,340,108,1,0.00925925925925926,Lottery sample,0.0092162926271445,0,0.0273231928084625
Beca Bicentenario,350,169,1,0.00591715976331361,Lottery sample,0.00589962739955199,0,0.0174804294664355
Beca Bicentenario,355,120,1,0.00833333333333333,Lottery sample,0.00829853847016092,0,0.0245984687348487
Beca Bicentenario,360,162,3,0.0185185185185185,Lottery sample,0.0105922120792047,0,0.0392792541937598
Beca Bicentenario,365,197,1,0.0050761421319797,Lottery sample,0.00506324213112048,0,0.0150000967089758
Beca Bicentenario,370,305,1,0.00327868852459016,Lottery sample,0.00327330921247721,0,0.00969437458104549
Beca Bicentenario,375,261,3,0.0114942528735632,Lottery sample,0.00659796062316489,0,0.0244262556949664
